Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Publication.Date,Event.Year,Total_Extracted_Injuries
Accident,GAA15CA063,2015-04-30,"Los Angeles, CA",United States,341543N,1182458W,WHP,WHITEMAN,Non-Fatal,Airplane,N65813,cessna,172p,No,1.0,Reciprocating,091,,Instructional,GLENDALE COMMUNITY COLLEGE,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Incident,CEN15IA230,2015-04-30,"Pilot Point, TX",United States,332245N,0955614W,,,Non-Fatal,Airplane,N49158,cessna,152,No,1.0,Reciprocating,091,,Instructional,US AVIATION GROUP LLC,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,GAA15CA073,2015-04-30,"Newburyport, MA",United States,424743N,0705022W,2B2,PLUM ISLAND,Non-Fatal,Airplane,N9085Q,cessna,182t,No,1.0,Reciprocating,091,,Personal,KEP2 AVIATION LLC,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,WPR15LA155,2015-05-01,"Crescent Lake, OR",United States,433157N,0121570W,,,Non-Fatal,Airplane,N2514N,cessna,140,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,1.0,25-09-2020,2015,0
Accident,GAA15CA059,2015-05-01,"PEARLAND, TX",United States,029311N,0951419W,LVJ,PEARLAND RGNL,Non-Fatal,Airplane,N66048,cessna,180k,No,1.0,Reciprocating,091,,Personal,WOOD DENTON A.,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,DCA15CA117,2015-05-01,"Otto, NM",United States,035552N,1055759W,,Private Aerodrome,Non-Fatal,Airplane,N950TA,titan aerospace holdings inc,solara 50,No,1.0,Electric,091,,Flight Test,TITAN AEROSPACE HOLDINGS INC,0.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15LA235,2015-05-01,"Ravenna, MI",United States,431048N,0855621W,MKG,Muskegon County Airport,Non-Fatal,Gyrocraft,N5606X,lathrop steven a,b8m,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,1.0,0.0,25-09-2020,2015,0
Accident,CEN15FA214,2015-05-02,"Orange, TX",United States,030445N,0934741W,,,Non-Fatal,Airplane,N5176C,beech,b35,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,2.0,0.0,25-09-2020,2015,0
Accident,CEN15LA217,2015-05-02,"Neillsville, WI",United States,443431N,0903024W,,,Non-Fatal,Airplane,N8558G,cessna,150f,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,,2015,0
Accident,CEN15CA218,2015-05-02,"Moriarty, NM",United States,345841N,0010600W,,,Non-Fatal,Airplane,N993S,schmidt donald l,gs1 glastar,Yes,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Incident,DCA15WA178,2015-05-02,"Douala, Cameroon",Cameroon,,,,,Non-Fatal,Airplane,F-GSPG,the boeing company,boeing 777-228 igw,No,2.0,Turbo Fan,,,Personal,SOCIETE AIR FRANCE,0.0,0.0,0.0,0.0,25-09-2020,2015,0
Incident,ENG15WA040,2015-05-02,"Morobe Province, Papua New Guinea",Papua New Guinea,,,,,Non-Fatal,Helicopter,P2-HSL,bell,407,No,1.0,Turbo Shaft,UNK,,Personal,,0.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA057,2015-05-03,"ST MARYS, PA",United States,412441N,0783026W,OYM,ST MARYS MUNI,Non-Fatal,Airplane,N53310,cessna,182t,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,1.0,25-09-2020,2015,0
Accident,ERA15FA203,2015-05-03,"Penn Yan, NY",United States,042381N,0007734W,PEO,PENN YAN,Fatal,Airplane,N3969L,cessna,172,No,1.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,WPR15LA156,2015-05-03,"Cottage Grove, OR",United States,434815N,0123155W,61S,Cottage Grove State Airport,Non-Fatal,Airplane,N352Y,buhl,la 1,No,1.0,Reciprocating,091,,Personal,EVERS MELVIN D,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Accident,ERA15FA204,2015-05-03,"Mulberry, TN",United States,351315N,0862559W,,,Fatal,Airplane,N6579M,cessna,182,No,1.0,Reciprocating,091,,Personal,BAUMAN LINDA C,1.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15WA221,2015-05-03,"Dundee, United Kingdom",United Kingdom,,,,,Fatal,Airplane,G-RICK,beech aircraft corporation,beech 95-b55,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15CA223,2015-05-03,"De Kalb, IL",United States,041562N,0884220W,KDKB,De Kalb Taylor Municipal,Non-Fatal,Airplane,N98656,piper,j3c-65,No,1.0,Reciprocating,091,,Personal,Joseph A. Begany,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Incident,ERA15IA206,2015-05-03,"Teterboro, NJ",United States,040514N,0007445W,TEB,TETERBORO,Non-Fatal,Airplane,N784JS,cessna,525b,No,2.0,Turbo Fan,135,NSCH,Personal,Superior Air Charter LLC,0.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15LA216,2015-05-04,"Huntington, IN",United States,405151N,0852812W,HHG,HUNTINGTON MUNI,Non-Fatal,Airplane,N8703W,piper,pa 28-235,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA060,2015-05-04,"Carson City, NV",United States,391132N,1194357W,KCXP,Carson City Airport,Non-Fatal,Airplane,N88FX,watson david e,skybolt,Yes,1.0,Reciprocating,091,,Personal,SCRONCE ANTHONY W,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,DCA15CA118,2015-05-04,"Phoenix, AZ",United States,332615N,1115938W,PHX,PHOENIX SKY HARBOR INTL,Non-Fatal,Airplane,N932LR,bombardier,cl600 2d24,No,2.0,Turbo Fan,121,SCHD,Personal,Mesa Airlines,0.0,0.0,0.0,79.0,25-09-2020,2015,0
Accident,GAA15CA066,2015-05-04,"Roxboro, NC",United States,361717N,0785858W,TDF,PERSON COUNTY,Non-Fatal,Airplane,N1102C,cessna,177b,No,1.0,Reciprocating,091,,Business,Charlie Sarratt,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,GAA15CA068,2015-05-04,"Hartland, ME",United States,445546N,0693111W,,,Non-Fatal,Airplane,N2724X,cessna,180,No,1.0,Reciprocating,091,,Personal,COMFORT KENNETH W,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,ANC15LA076,2015-05-04,"Hamilton, MT",United States,046156N,0114732W,6S5,RAVALLI COUNTY,Non-Fatal,Helicopter,N504WD,airbus,as-350,No,1.0,Turbo Shaft,091,,Instructional,,0.0,0.0,0.0,2.0,,2015,0
Accident,CEN15LA222,2015-05-05,"Basile, LA",United States,030297N,0092362W,,,Fatal,Airplane,N4221G,air tractor inc,at 502b,No,1.0,Turbo Prop,137,,Aerial Application,LEJEUNE AERIAL APPLICATIONS LLC,1.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA061,2015-05-05,"Morganton, NC",United States,354918N,0813638W,MRN,FOOTHILLS REGIONAL,Non-Fatal,Helicopter,N7089S,hughes,th 55,No,1.0,Reciprocating,091,,Instructional,,0.0,1.0,0.0,1.0,25-09-2020,2015,0
Accident,ERA15LA205,2015-05-05,"Bartow, GA",United States,325019N,0823729W,,,Non-Fatal,Airplane,N364SJ,jerome d fischer,rv-7,Yes,1.0,Reciprocating,091,,Personal,David Malmin,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Accident,ANC15CA024,2015-05-05,"Palmer, AK",United States,613652N,1493955W,,,Non-Fatal,Airplane,N669RJ,robert m. jones,zenith ch 701,Yes,1.0,Reciprocating,091,,Personal,JONES ROBERT M,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Incident,CEN15IA225,2015-05-05,"New Orleans, LA",United States,295936N,0901533W,,,Non-Fatal,Airplane,N941FR,airbus,a319 112,No,2.0,Turbo Fan,121,SCHD,Personal,FRONTIER AIRLINES INC,0.0,0.0,0.0,136.0,25-09-2020,2015,0
Accident,ERA15WA216,2015-05-05,"Puebloviejo, Spain",Spain,,,,,Fatal,Airplane,HC-CBY,thrush,s2r-t34,No,1.0,Turbo Prop,NUSN,,Aerial Application,Aerovic C.A.,1.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA062,2015-05-06,"Deer Park, WA",United States,475711N,1172533W,,,Non-Fatal,Glider,N350BC,issoire siren,pik 30,No,1.0,Reciprocating,091,,Personal,Rollin E. Hasness,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,CEN15LA224,2015-05-06,"Argyle, TX",United States,332139N,0971012W,,,Non-Fatal,Helicopter,N8011Q,enstrom,f-28f,No,1.0,Reciprocating,091,,Instructional,US AVIATION GROUP LLC,0.0,0.0,2.0,0.0,25-09-2020,2015,0
Incident,ENG15WA022,2015-05-06,"Bogota, Colombia, Colombia",Colombia,004425N,0074849W,,,Non-Fatal,Airplane,HK4262,boeing,727-2f9,No,2.0,Turbo Fan,,,Personal,,0.0,0.0,0.0,4.0,25-09-2020,2015,0
Accident,WPR15FA158,2015-05-07,"Spokane, WA",United States,047419N,1171937W,SFF,FELTS FIELD,Fatal,Airplane,N962DA,piper,pa 46 350p,No,1.0,Turbo Prop,091,,Flight Test,,2.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA064,2015-05-07,"Daytona Beach, FL",United States,291048N,0081329W,KDAB,DAYTONA BEACH INTL,Non-Fatal,Airplane,N5144H,cessna,172s,No,1.0,Reciprocating,091,,Instructional,Phoenix East Aviation LLC,0.0,0.0,0.0,4.0,25-09-2020,2015,0
Accident,CEN15LA229,2015-05-07,"Chesterfield, MO",United States,383944N,0090397W,SUS,Spirit of St Louis,Non-Fatal,Helicopter,N127AE,bell,206l 3,No,1.0,Turbo Shaft,091,,Instructional,AIR EVAC EMS INC,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,ERA15FA208,2015-05-08,"Atlanta, GA",United States,335328N,0841622W,PDK,Dekalb-Peachtree Airport,Fatal,Airplane,N5802V,piper,pa-32r-300,No,1.0,Reciprocating,091,,Personal,,4.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,ERA15CA209,2015-05-08,"Balsam Grove, NC",United States,351331N,0825151W,,,Non-Fatal,Airplane,N5981T,cessna,150d,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,GAA15CA069,2015-05-08,"Canandaigua, NY",United States,425428N,0771920W,D38,CANANDAIGUA,Non-Fatal,Airplane,N170HB,buhlmann howard,hb-1,Yes,1.0,Reciprocating,091,,Personal,BUHLMANN HOWARD C,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,WPR15FAMS1,2015-05-08,"Davenport, CA",United States,037522N,1221421W,,,Fatal,Airplane,N191TG,cessna,172s,No,1.0,Reciprocating,091,,Personal,William McAdams,1.0,0.0,0.0,0.0,03-11-2020,2015,0
Accident,ANC15WA067,2015-05-08,"SURREY, Canada",Canada,,,,,Fatal,Airplane,N688KY,kevin d. yarnevich,kitfox,Yes,1.0,Reciprocating,NUSN,,Personal,,1.0,0.0,0.0,0.0,25-09-2020,2015,0
