Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Publication.Date,Event.Year,Total_Extracted_Injuries
Accident,SEA87LA080,1948-10-24,"MOOSE CREEK, ID",United States,,,,,Fatal(2),,NC6404,stinson,108-3,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,,1948,2
Accident,LAX94LA336,1962-07-19,"BRIDGEPORT, CA",United States,,,,,Fatal(4),,N5069P,piper,pa24-180,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,19-09-1996,1962,4
Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,36.922222999999995,-81.878056,,,Fatal(3),,N5142R,cessna,172m,No,1.0,Reciprocating,,,Personal,,3.0,0.0,0.0,1.0,26-02-2007,1974,3
Accident,LAX96LA321,1977-06-19,"EUREKA, CA",United States,,,,,Fatal(2),,N1168J,rockwell,112,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,12-09-2000,1977,2
Accident,CHI79FA064,1979-08-02,"Canton, OH",United States,,,,,Fatal(1),,N15NY,cessna,501,No,1.0,Reciprocating,,,Personal,,1.0,2.0,0.0,0.0,16-04-1980,1979,1
Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277000000004,-70.758333,,,Non-Fatal,Airplane,CF-TLU,mcdonnell douglas,dc9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,Personal,Air Canada,0.0,0.0,1.0,44.0,19-09-2017,1979,0
Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,,,,,Fatal(4),,N4988E,cessna,180,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,06-11-2001,1981,4
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,,,,BLACKBURN AG STRIP,Non-Fatal,Airplane,N2482N,cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,01-01-1982,1982,0
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,,,N58,HANOVER,Non-Fatal,Airplane,N7967Q,cessna,401b,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,01-01-1982,1982,0
Accident,MIA82DA029,1982-01-01,"JACKSONVILLE, FL",United States,,,JAX,JACKSONVILLE INTL,Non-Fatal,,N3906K,north american,navion l-17b,No,1.0,Reciprocating,,,Personal,,0.0,0.0,3.0,0.0,01-01-1982,1982,0
Accident,FTW82DA034,1982-01-01,"HOBBS, NM",United States,,,,,Non-Fatal,,N44832,piper,pa-28-161,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,01-01-1982,1982,0
Accident,ATL82DKJ10,1982-01-01,"TUSKEGEE, AL",United States,,,,TUSKEGEE,Non-Fatal,,N4275S,beech,v35b,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,01-01-1982,1982,0
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,,,,,Non-Fatal,Airplane,N14779,bellanca,17-30a,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,02-01-1983,1982,0
Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,,,T72,HEARNE MUNICIPAL,Fatal(1),Airplane,N758SK,cessna,r172k,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,02-01-1983,1982,1
Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,,,,,Fatal(1),Airplane,N4876K,navion,a,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,02-01-1983,1982,1
Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,,,,,Fatal(2),Airplane,N9779L,beech,19,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,02-01-1983,1982,2
Accident,DEN82DTM08,1982-01-02,"MIDWAY, UT",United States,,,,FIELD RANCH,Non-Fatal,Helicopter,N51735,enstrom,280c,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,02-01-1983,1982,0
Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,,,,,Fatal(3),Airplane,N7641A,cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,02-01-1983,1982,3
Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,,,5G6,CHERRY SPRINGS,Non-Fatal,Airplane,N25084,cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,02-01-1983,1982,0
Accident,MIA82DA028,1982-01-02,"MIAMI, FL",United States,,,,,Non-Fatal,Helicopter,N23BS,smith,wcs-222 (bell 47g),No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,02-01-1983,1982,0
Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,,,YIP,WILLOW RUN,Non-Fatal,Airplane,N68812,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,02-01-1983,1982,0
Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,,,49G,TINKERBELL,Non-Fatal,Airplane,N1549Q,cessna,150l,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,02-01-1983,1982,0
Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,,,PDK,,Non-Fatal,Helicopter,N5745Y,bell,206l-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rocky Mountain Helicopters, In",0.0,0.0,0.0,1.0,02-01-1983,1982,0
Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Incident,Airplane,N5018P,piper,pa-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,03-01-1983,1982,0
Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,,,,,Fatal(2),Airplane,N28912,grumman,aa-5b,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,1.0,0.0,0.0,03-01-1983,1982,2
Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,,,,HANOVER COUNTY,Fatal(8),Airplane,N2620L,cessna,414a,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,03-01-1983,1982,8
Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,,,SOP,MOORE COUNTY,Fatal(1),Airplane,N10VS,beechcraft,be-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,03-01-1983,1982,1
Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,,,HPN,WESTCHESTER COUNTY,Non-Fatal,Airplane,N7125D,maule,m-5-235c,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,03-01-1983,1982,0
Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,,,,,Non-Fatal,Airplane,N94252,cessna,210l,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,03-01-1983,1982,0
Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,,,,,Non-Fatal,Airplane,N8630V,bellanca,7gcbc,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,03-01-1983,1982,0
Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,,,,OAK GROVE,Non-Fatal,Airplane,N71054,cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,03-01-1983,1982,0
Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,,,,,Non-Fatal,Airplane,N23069,air tractor,at-301,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,03-01-1983,1982,0
Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,,,,,Fatal(4),Airplane,N8265A,piper,pa-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,04-01-1983,1982,4
Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,,,,,Fatal(2),Airplane,N1956H,piper,pa-34-200t,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Lang Air Service,2.0,0.0,0.0,0.0,04-01-1983,1982,2
Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,,,,,Fatal(2),Airplane,N2CU,cessna,t337g,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,2.0,0.0,0.0,04-01-1983,1982,2
Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,,,E92,ESTANCIA MUNICIPAL,Non-Fatal,Airplane,N32335,piper,pa-28r-200,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,04-01-1983,1982,0
Accident,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,,,L39,RAMONA,Fatal(3),Airplane,N4520K,navion,a,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,3.0,0.0,0.0,0.0,05-01-1983,1982,3
Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,,,,,Fatal(1),Airplane,N4696Z,piper,pa-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,05-01-1983,1982,1
Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,,,,TOMPKINS COUNTY,Fatal(2),Airplane,N546BA,piper,pa-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Empire Airlines,2.0,0.0,0.0,0.0,05-01-1983,1982,2
Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,,,,,Incident,Airplane,N5782N,rockwell,114,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,05-01-1983,1982,0
Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,,,,,Non-Fatal,Airplane,N5304P,piper,pa-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,1.0,0.0,1.0,05-01-1983,1982,0
Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,,,0A6,,Non-Fatal,Airplane,N2139T,piper,pa-28r-200,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,05-01-1983,1982,0
Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,,,Q35,SPRINGERVILLE,Non-Fatal,Airplane,N738XP,cessna,tr182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Joel Frederick's Monarch Air,0.0,0.0,0.0,1.0,05-01-1983,1982,0
Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,,,BET,BETHEL,Non-Fatal,Airplane,N3343S,cessna,a185f,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Executive Charter Service,0.0,2.0,0.0,0.0,05-01-1983,1982,0
Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,,,K07,DOWNTOWN,Non-Fatal,Airplane,N2672A,cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,3.0,06-01-1983,1982,0
Accident,LAX82DA039,1982-01-06,"MAMMOTH LAKES, CA",United States,,,MMH,MAMMOTH LAKES,Non-Fatal,Helicopter,N608RA,aerospatiale,sa-316b,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,0.0,0.0,6.0,06-01-1983,1982,0
Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,,,,JACKSON HOLE,Non-Fatal,Airplane,N8070Q,beech,35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,06-01-1983,1982,0
Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,,,1C1,PAXTON MUNICIPAL,Non-Fatal,Airplane,N4900L,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,06-01-1983,1982,0
Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,,,,,Non-Fatal,Airplane,N201NH,mooney,m-20j,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,06-01-1983,1982,0
Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,,,,,Non-Fatal,Airplane,N59737,boeing,a75,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,1.0,0.0,1.0,06-01-1983,1982,0
Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,,,,,Fatal(2),Airplane,N9763X,cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Robert R. Hylton,2.0,0.0,0.0,0.0,07-01-1983,1982,2
Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,,,2W2,CLEARVIEW,Non-Fatal,Airplane,N117P,beech,v35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,07-01-1983,1982,0
Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,,,LRD,LAREDO INTL,Non-Fatal,Airplane,N1698M,curtis,c46,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",NSCH,Unknown,,0.0,0.0,0.0,3.0,07-01-1983,1982,0
Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,,,X41,W. PASCO,Fatal(1),Airplane,N80264,cessna,172m,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,08-01-1983,1982,1
Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,,,PHO,HARRY CLEVER FIELD,Fatal(1),Airplane,N207CB,piper,pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,08-01-1983,1982,1
Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,,,PUW,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Airplane,N6106U,cessna,tu206g,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,08-01-1983,1982,0
Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,,,,,Non-Fatal,Airplane,N46681,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,08-01-1983,1982,0
Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,,,,MITHELL,Non-Fatal,Airplane,N7618P,piper,pa-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,08-01-1983,1982,0
Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,,,3MY,MOUNT HAWLEY,Non-Fatal,Airplane,N6265P,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,08-01-1983,1982,0
Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,,,SKY,GRIFFING-SANDUSKY,Non-Fatal,Airplane,N737LH,cessna,172n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,08-01-1983,1982,0
Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,,,SC42,TWIN LAKES,Non-Fatal,Airplane,N25225,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,08-01-1983,1982,0
Accident,LAX82DVG13,1982-01-09,"CALISTOGA, CA",United States,,,,CALISTOGA,Non-Fatal,Glider,N10UP,schleicher,asw 20,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,09-01-1983,1982,0
Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,,,,NAPA,Non-Fatal,Airplane,N731NZ,cessna,p210n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,3.0,09-01-1983,1982,0
Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,,,,PRIVATE STRIP,Non-Fatal,Airplane,N7355A,cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,09-01-1983,1982,0
Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,,,DWH,DAVID WAYNE HOOKS,Non-Fatal,Airplane,N55489,piper,pa-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,09-01-1983,1982,0
Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,,,,DILLINGHAM,Non-Fatal,Airplane,N5639V,cessna,305 (l-19),No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,09-01-1983,1982,0
Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,,,SBS,ROUTT CITY,Non-Fatal,Airplane,N2195G,cessna,182a,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,09-01-1983,1982,0
Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,,,,LOWERY DAVIS,Non-Fatal,Airplane,N567V,piper,pa-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,2.0,0.0,0.0,10-01-1983,1982,0
Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,,,P06,BULLHEAD CITY,Non-Fatal,Airplane,N2753J,cessna,172n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,10-01-1983,1982,0
Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,,,PWK,PALWAUKEE,Non-Fatal,Airplane,N6995Y,piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,10-01-1983,1982,0
Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,,,,,Fatal(1),Airplane,N3688N,mooney,m20g,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,10-01-1983,1982,1
Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,,,,,Non-Fatal,Airplane,N2644Q,cessna,tu206f,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,4.0,0.0,10-01-1983,1982,0
Accident,LAX82FUG05,1982-01-10,"UPLAND, CA",United States,,,,,Non-Fatal,Airplane,N234Q,quickie,1,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,10-01-1983,1982,0
Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,,,,,Non-Fatal,Airplane,N756YN,cessna,u206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Tri-city Air Service,0.0,0.0,3.0,0.0,10-01-1983,1982,0
Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,,,,,Non-Fatal,Airplane,N7273J,piper,pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,0.0,11-01-1983,1982,0
Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,,,,RIVERTON REGIONAL,Fatal(4),Airplane,N6558A,cessna,210n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,1.0,1.0,0.0,11-01-1983,1982,4
Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,,,28V,COCHETOPA,Non-Fatal,Airplane,N2332C,cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,11-01-1983,1982,0
Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,,,AVO,AUBURN/OPELIKA,Non-Fatal,Airplane,N424VW,cessna,310l,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,11-01-1983,1982,0
Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,Airplane,N31031,lockheed,l-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,12-01-1983,1982,0
Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Airplane,N615KC,embraer,emb-110p1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,12-01-1983,1982,0
Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,,,,,Non-Fatal,Airplane,N7706,cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,12-01-1983,1982,0
Accident,FTW82FPA10,1982-01-12,"ADDISON, TX",United States,,,11,ADDISON,Non-Fatal,Airplane,N8678M,beech,p35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,12-01-1983,1982,0
Accident,MIA82DA033,1982-01-13,"MONTICELLO, FL",United States,,,,,Non-Fatal,Airplane,N28607,grumman,aa5b,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,13-01-1983,1982,0
Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,,,,WASHINGTON NATIONAL,Fatal(78),,N62AF,boeing,737-222,No,2.0,Turbo Fan,,SCHD,Unknown,"Air Florida, Inc",78.0,6.0,3.0,0.0,13-01-1983,1982,78
Accident,FTW82FPJ11,1982-01-13,"WATONGA, OK",United States,,,,,Non-Fatal,Airplane,N47442,piper,pa-28r-201t,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,13-01-1983,1982,0
Accident,FTW82DA040,1982-01-13,"HOBBS, NM",United States,,,HOB,LEA COUNTY HOBBS,Non-Fatal,Airplane,N2396W,beech,a23-24,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,13-01-1983,1982,0
Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,,,,GEIGER FIELD,Non-Fatal,Airplane,N36PB,piper,pa-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Richard Engstrom,0.0,0.0,0.0,2.0,13-01-1983,1982,0
Accident,DEN82FA018,1982-01-15,"28 MI ENE OGDEN, UT",United States,,,,,Fatal(3),Airplane,N6520Y,cessna,t210n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,15-01-1983,1982,3
Accident,NYC82DA022,1982-01-15,"BUTLER, PA",United States,,,3G9,BUTLER ROE,Non-Fatal,,N4875B,cessna,310,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,15-01-1983,1982,0
Accident,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,,,,TAYLOR FARMS,Non-Fatal,Airplane,N5559T,cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,15-01-1983,1982,0
Accident,SEA82DA019,1982-01-15,"S.E. OF MALTA, ID",United States,,,,,Non-Fatal,Helicopter,N58203,hughes,269c,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,15-01-1983,1982,0
Accident,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,,,SFF,FELTS,Non-Fatal,Airplane,N72901,cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,15-01-1983,1982,0
Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INT'L,Non-Fatal,Airplane,N341PL,swearingen,sa 226-tc,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pocono Airlines,0.0,1.0,2.0,12.0,15-01-1983,1982,0
Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,,,ANE,ANOKA COUNTY,Non-Fatal,Airplane,N300JR,beech,c-45h,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,15-01-1983,1982,0
Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,,,,,Non-Fatal,Airplane,N1459T,de havilland,dhc-2-mk3,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Sea Airmotive, Inc.",0.0,0.0,0.0,4.0,15-01-1983,1982,0
Accident,FTW82FA041,1982-01-16,"HOUMA, LA",United States,,,,,Fatal(1),Helicopter,N1081H,bell helicopter,206l-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Offshore Logistics,1.0,2.0,0.0,0.0,16-01-1983,1982,1
Accident,NYC82DA023,1982-01-16,"SWANTON, VT",United States,,,1B7,FRANKLIN COUNTY,Non-Fatal,Airplane,N704KE,cessna,150m,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,16-01-1983,1982,0
Accident,LAX82FVG14,1982-01-17,"DAVIS, CA",United States,,,005,UNIVERSITY,Fatal(1),Airplane,N63182,cessna,150m,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,17-01-1983,1982,1
Accident,LAX82FUQ08,1982-01-17,"MOJAVE, CA",United States,,,MHV,MOJANE,Fatal(1),Airplane,N381JH,bede aircraft,bd-5b,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,17-01-1983,1982,1
Accident,LAX82FUJ24,1982-01-17,"SUNFLOWER, AZ",United States,,,,,Non-Fatal,Airplane,N7383S,cessna,182p,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,0.0,17-01-1983,1982,0
Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,,,,HONOLULU INTL,Non-Fatal,Airplane,N21DR,convair,440,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Island Airlines Hawaii Inc.,0.0,0.0,2.0,1.0,17-01-1983,1982,0
Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,,,T05,PORT MANSFIELD,Fatal(1),Airplane,N9181Y,piper,pa-31,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,17-01-1983,1982,1
Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,,,,,Non-Fatal,Airplane,N91TW,piper,pa-31t,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,17-01-1983,1982,0
Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,,,PCU,PICAYUNE-PEARL RIVER CNTY,Fatal(2),Airplane,N654T,beech,f50,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,17-01-1983,1982,2
Accident,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,,,MRI,MERRILL FIELD,Non-Fatal,Airplane,N63516,cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,1.0,17-01-1983,1982,0
