Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Event.Year,Total_Extracted_Injuries
2007-03-15,"CHICAGO, IL",United States,Non-Fatal,Substantial,N662UA,boeing,767-300,No,2.0,Turbo Fan,Personal,0.0,0.0,0.0,203.0,VMC,2007,0
2007-03-15,"COLLINWOOD, TN",United States,Non-Fatal,Substantial,N90319,air tractor,at-502b,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-16,"ISLA GRANDE, PR",United States,Non-Fatal,Substantial,N72PK,robinson,r-44-ii,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-16,"EL CAJON, CA",United States,Non-Fatal,Substantial,N829CL,caywood,long-ez,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-16,"DIAMOND LAKE, OR",United States,Non-Fatal,Substantial,N6462A,cessna,182,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-16,"BARSTOW, CA",United States,Non-Fatal,Substantial,N628TT,cessna,t210n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,2007,0
2007-03-16,"PLEASANTON, KS",United States,Non-Fatal,Substantial,N5759t,cessna,172e,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-16,"Las Vegas, NV",United States,Incident,Substantial,NONE,mcdonnell douglas,md-83,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-16,"Las Vegas, NV",United States,Incident,Minor,NONE,boeing,737-700,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-16,"Titusville, FL",United States,Fatal(1),Destroyed,N63925,aero vodochody aero. works,l-39c,No,1.0,Turbo Jet,Air Race/show,1.0,0.0,0.0,1.0,VMC,2007,1
2007-03-17,"BEVERLY, MA",United States,Non-Fatal,Substantial,N511AT,cessna,500,No,2.0,Turbo Jet,Personal,0.0,0.0,0.0,6.0,IMC,2007,0
2007-03-17,"ST. GEORGE, UT",United States,Non-Fatal,Substantial,N74503,mooney,m20b,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-17,"FORT ATKINSON, WI",United States,Non-Fatal,Substantial,N5200C,haddan,sonerai iil,Yes,1.0,Reciprocating,Personal,0.0,1.0,1.0,1.0,VMC,2007,0
2007-03-17,"Lincoln City, OR",United States,Fatal(2),Destroyed,N75194,piper,pa-28-151,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,IMC,2007,2
2007-03-17,"Marietta, OK",United States,Fatal(1),Destroyed,N584DP,beech,58p,No,2.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC,2007,1
2007-03-17,"Huntsville, AL",United States,Non-Fatal,Destroyed,N471KC,bell,47g2a,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,2007,0
2007-03-18,"SANFORD, FL",United States,Non-Fatal,Substantial,N96319,cessna,172p,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-18,"ARECIBO, PR",United States,Non-Fatal,Substantial,N7023D,jimenez reymundo,challenger ii specia,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-18,"BROWNFIELD, TX",United States,Non-Fatal,Substantial,N4242U,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,2007,0
2007-03-18,"TALBOTTON, GA",United States,Fatal(1),Substantial,N7XS,james walter,hornet,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-03-18,"MOULTRIE, GA",United States,Non-Fatal,Substantial,N56537,maule,m-5 235c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-19,"MARYSVILLE, CA",United States,Non-Fatal,Substantial,N231KZ,mooney aircraft,m20k,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-19,"TAYLORSVILLE, UT",United States,Non-Fatal,Substantial,N74347,robinson,r22 beta 2,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,1.0,VMC,2007,0
2007-03-19,"DAVENPORT, WA",United States,Non-Fatal,Substantial,N6463T,cessna,150a,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-19,"LEESBURG, FL",United States,Non-Fatal,Substantial,N9017M,bruce e. hotz,wind wagon,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,1.0,VMC,2007,0
2007-03-19,"CALHOUN CITY, MS",United States,Non-Fatal,Substantial,N90923,bellanca,7eca,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-19,"VERNON, TX",United States,Non-Fatal,Substantial,N5931X,brantly helicopter,b2,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-19,"RHINELANDER, WI",United States,Non-Fatal,Substantial,N900Y,socata,tb-20 trinidad,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-19,"ATLANTA, GA",United States,Non-Fatal,Substantial,N500JP,beech,95-b55,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-19,"Stansted, United Kingdom",United Kingdom,Incident,Substantial,NONE,lockheed,l188c,No,1.0,Turbo Prop,Personal,0.0,0.0,0.0,3.0,UNK,2007,0
2007-03-19,"Rendsburg-Schac, Germany",Germany,Fatal(1),Destroyed,NONE,beech,24r,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-03-20,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,N128SL,piaggio industrie,p180,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-20,"OLIVER SPRINGS, TN",United States,Non-Fatal,Substantial,N9596S,champion,7eca,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,2007,0
2007-03-21,"Shanghai, China",China,Incident,Substantial,NONE,boeing,747,No,4.0,Turbo Fan,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-22,"CORNELIA, GA",United States,Non-Fatal,Substantial,N46567,cessna,172k,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-22,"Quepos, Costa Rica",Costa Rica,Non-Fatal,Minor,NONE,cessna,208b,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,9.0,VMC,2007,0
2007-03-23,"LIVERMORE, CA",United States,Non-Fatal,Substantial,N4644U,cessna,t210n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,2007,0
2007-03-23,"TULARE, CA",United States,Non-Fatal,Substantial,N2124N,piper,pa-18,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-23,"LEWES, DE",United States,Non-Fatal,Substantial,N828BA,bell,206b,No,1.0,Turbo Shaft,Personal,0.0,0.0,2.0,2.0,VMC,2007,0
2007-03-23,"RIFLE, CO",United States,Non-Fatal,Substantial,N129KJ,dassault aviation,mystere falcon 900c,No,3.0,Turbo Fan,Positioning,0.0,0.0,0.0,3.0,VMC,2007,0
2007-03-23,"Livermore, CA",United States,Non-Fatal,Minor,N360JP,sukhoi,su-29,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,2007,0
2007-03-24,"ARVIN, CA",United States,Non-Fatal,Substantial,N229DH,hackney,glasair td,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-24,"OGDEN, UT",United States,Non-Fatal,Substantial,N423DW,duffy/wagner,vans rv-4,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-24,"CATHERINE TWP., PA",United States,Non-Fatal,Substantial,N56124,piper,pa-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,2007,0
2007-03-24,"OKEECHOBEE, FL",United States,Non-Fatal,Substantial,N704HF,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-24,"ATLANTA, GA",United States,Non-Fatal,Substantial,N4988L,piper,pa-28a-180c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-24,"MORGANTON, NC",United States,Non-Fatal,Substantial,N17XZ,harrison robert j.,longez,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-24,"LAWRENCEVILLE, GA",United States,Non-Fatal,Substantial,N8384K,stinson,108,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2007,0
2007-03-24,"MONKS CORNER, SC",United States,Non-Fatal,Substantial,N1981L,beech,b24r,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2007,0
2007-03-24,"MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,N4330Z,piper,pa-18-150,No,1.0,Reciprocating,Banner Tow,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-24,"Jacksonville, MD",United States,Fatal(3),Destroyed,N324ST,piper,pa-32r-301,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,1.0,IMC,2007,3
2007-03-24,"Angel Fire, NM",United States,Incident,Minor,N771HC,beech,200,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,IMC,2007,0
2007-03-25,"CAMARILLO, CA",United States,Non-Fatal,Substantial,N496SB,boykin,rotorway exec 162f,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-25,"WAWAYANDA, NY",United States,Non-Fatal,Substantial,N53874,bellanca,7eca,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,1.0,VMC,2007,0
2007-03-25,"LAREDO, TX",United States,Non-Fatal,Substantial,N854WT,robinson,r22 beta,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-25,"SPICEWOOD, TX",United States,Non-Fatal,Substantial,N69NV,pzl,101a,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-25,"AUSTIN, IN",United States,Non-Fatal,Substantial,N66673,cessna,150m,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,2007,0
2007-03-25,"AUGUSTA, GA",United States,Non-Fatal,Substantial,N90NM,beech,be-90,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,3.0,VMC,2007,0
2007-03-26,"NEWPORT NEWS, VA",United States,Non-Fatal,Substantial,N527PA,gates learjet,36a,No,2.0,Turbo Fan,Public Aircraft,0.0,0.0,0.0,2.0,IMC,2007,0
2007-03-26,"ORLANDO, FL",United States,Non-Fatal,Substantial,N95129,cessna,172r,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-26,"MALTA, IL",United States,Non-Fatal,Substantial,N162MC,mccall,rotorway 162f,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-26,"Moore Haven, FL",United States,Incident,Substantial,N57FH,cessna,172s,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-27,"Riyadh, Saudi Arabia",Saudi Arabia,Non-Fatal,Substantial,NONE,embraer,e-170,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-27,"Ponte Vedra Bch, FL",United States,Fatal(2),Destroyed,N744SH,robinson,r44 ii,No,1.0,Reciprocating,Instructional,2.0,0.0,0.0,1.0,VMC,2007,2
2007-03-28,"RAVENNA, OH",United States,Non-Fatal,Substantial,N992DC,alon,a2,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,2007,0
2007-03-28,"Howell, NJ",United States,Fatal(1),Destroyed,N33521,piper,pa-28-151,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-03-28,"Kahului, HI",United States,Incident,Minor,N4010K,eurocopter,as 350 ba,No,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,7.0,VMC,2007,0
2007-03-28,"Amman, Jordan",Jordan,Incident,Minor,NONE,piper,pa28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-29,"SANFORD, FL",United States,Non-Fatal,Substantial,N877GA,mcdonnell douglas,dc-9-83 (md-83),No,2.0,Turbo Fan,Personal,0.0,0.0,1.0,156.0,VMC,2007,0
2007-03-29,"WINSLOW, AZ",United States,Non-Fatal,Substantial,N6450X,cessna,180d,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-29,"SWEETWATER, TX",United States,Non-Fatal,Substantial,N744,piper,pa-18,No,1.0,Reciprocating,Public Aircraft,0.0,0.0,1.0,1.0,VMC,2007,0
2007-03-29,"WOOLSEY, GA",United States,Non-Fatal,Substantial,N1MQ,beech,be-58,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,2007,0
2007-03-29,"FOLEY, AL",United States,Non-Fatal,Substantial,N494D,randy stanley,rotoway exc 162f,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-30,"ENUMCLAW, WA",United States,Non-Fatal,Substantial,N968A,piper,pa-22,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
